No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.0.0.1,10.0.0.2,TCP,74,57222 >  [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=46979 TSecr=0 WS=512
2,0.154734,10.0.0.2,10.0.0.1,TCP,74," > 57222 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=47005 TSecr=46979 WS=512"
3,0.22552,10.0.0.1,10.0.0.2,TCP,2114,"57222 >  [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=2048 TSval=47031 TSecr=47005"
4,0.237222,10.0.0.1,10.0.0.2,TCP,1514,57222 >  [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=47031 TSecr=47005
5,0.248971,10.0.0.1,10.0.0.2,TCP,1514,57222 >  [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=47031 TSecr=47005
6,0.26164,10.0.0.1,10.0.0.2,TCP,1514,[TCP Previous segment not captured] 57222 >  [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=47031 TSecr=47005
7,0.28603,10.0.0.1,10.0.0.2,TCP,2962,57222 >  [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=47031 TSecr=47005
8,0.297622,10.0.0.1,10.0.0.2,TCP,1514,57222 >  [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=47031 TSecr=47005
9,0.378749,10.0.0.2,10.0.0.1,TCP,66, > 57222 [ACK] Seq=1 Ack=1449 Win=32256 Len=0 TSval=47061 TSecr=47031
10,0.379095,10.0.0.2,10.0.0.1,TCP,66, > 57222 [ACK] Seq=1 Ack=2049 Win=34816 Len=0 TSval=47061 TSecr=47031
11,0.388516,10.0.0.2,10.0.0.1,TCP,66, > 57222 [ACK] Seq=1 Ack=3497 Win=37888 Len=0 TSval=47064 TSecr=47031
12,0.400126,10.0.0.2,10.0.0.1,TCP,66, > 57222 [ACK] Seq=1 Ack=4945 Win=40960 Len=0 TSval=47067 TSecr=47031
13,0.412114,10.0.0.2,10.0.0.1,TCP,78,[TCP Window Update]  > 57222 [ACK] Seq=1 Ack=4945 Win=43520 Len=0 TSval=47070 TSecr=47031 SLE=7841 SRE=9289
14,0.436606,10.0.0.2,10.0.0.1,TCP,78,[TCP Window Update]  > 57222 [ACK] Seq=1 Ack=4945 Win=49664 Len=0 TSval=47076 TSecr=47031 SLE=7841 SRE=12185
15,0.448984,10.0.0.2,10.0.0.1,TCP,78,[TCP Window Update]  > 57222 [ACK] Seq=1 Ack=4945 Win=52224 Len=0 TSval=47079 TSecr=47031 SLE=7841 SRE=13633
